Term,Coefficient
H_r^e*V_r^e*V_t^l*H_t^l,-1/8
H_r^e*V_t^e*V_r^l*H_t^l,-1/8
H_r^e*V_t^e*V_t^l*H_r^l,-1/8
H_t^e*V_r^e*V_r^l*H_t^l,-1/8
H_t^e*V_r^e*V_t^l*H_r^l,-1/8
H_t^e*V_t^e*V_r^l*H_r^l,-1/8
V_r^e*H_r^e*H_t^l*V_t^l,-1/8
V_r^e*H_t^e*H_r^l*V_t^l,-1/8
V_r^e*H_t^e*H_t^l*V_r^l,-1/8
V_t^e*H_r^e*H_r^l*V_t^l,-1/8
V_t^e*H_r^e*H_t^l*V_r^l,-1/8
V_t^e*H_t^e*H_r^l*V_r^l,-1/8
H_r^e*V_r^e*H_t^l*V_t^l,1/8
H_r^e*V_t^e*H_r^l*V_t^l,1/8
H_r^e*V_t^e*H_t^l*V_r^l,1/8
H_t^e*V_r^e*H_r^l*V_t^l,1/8
H_t^e*V_r^e*H_t^l*V_r^l,1/8
H_t^e*V_t^e*H_r^l*V_r^l,1/8
V_r^e*H_r^e*V_t^l*H_t^l,1/8
V_r^e*H_t^e*V_r^l*H_t^l,1/8
V_r^e*H_t^e*V_t^l*H_r^l,1/8
V_t^e*H_r^e*V_r^l*H_t^l,1/8
V_t^e*H_r^e*V_t^l*H_r^l,1/8
V_t^e*H_t^e*V_r^l*H_r^l,1/8
